sampid,type,subgroup_category,benchmark_category,benchmark_source,response_rate,n,phat,p0,v0
Probability 1,prob,Hispanic,Food allergy,2010 NHANES,1.4,575,0.108900484,0.081753348,0.000105865
Probability 2,prob,Hispanic,Food allergy,2010 NHANES,3,809,0.09831274,0.081753348,0.000105865
Probability 3,prob,Hispanic,Food allergy,2010 NHANES,7,318,0.152945712,0.081753348,0.000105865
Opt-in 1,nonprob,White non-Hispanic,Food allergy,2010 NHANES,0,3079,0.135117263,0.093058557,4.06E-05
Opt-in 2,nonprob,White non-Hispanic,Food allergy,2010 NHANES,0,3245,0.14038096,0.093058557,4.06E-05
Opt-in 3,nonprob,White non-Hispanic,Food allergy,2010 NHANES,0,3148,0.112152406,0.093058557,4.06E-05
Probability 1,prob,White non-Hispanic,Food allergy,2010 NHANES,1.4,3596,0.121134036,0.093058557,4.06E-05
Probability 2,prob,White non-Hispanic,Food allergy,2010 NHANES,3,3362,0.131847545,0.093058557,4.06E-05
Probability 3,prob,White non-Hispanic,Food allergy,2010 NHANES,7,3851,0.122053336,0.093058557,4.06E-05
Opt-in 1,nonprob,18-29,High blood pressure,2020 NHIS,0,1170,0.230749763,0.063134956,2.57E-05
Opt-in 2,nonprob,18-29,High blood pressure,2020 NHIS,0,1031,0.226141353,0.063134956,2.57E-05
Opt-in 3,nonprob,18-29,High blood pressure,2020 NHIS,0,693,0.208610536,0.063134956,2.57E-05
Probability 1,prob,18-29,High blood pressure,2020 NHIS,1.4,585,0.069904403,0.063134956,2.57E-05
Probability 2,prob,18-29,High blood pressure,2020 NHIS,3,655,0.133251892,0.063134956,2.57E-05
Probability 3,prob,18-29,High blood pressure,2020 NHIS,7,363,0.059698852,0.063134956,2.57E-05
Opt-in 1,nonprob,30-64,High blood pressure,2020 NHIS,0,2637,0.379800855,0.287280306,2.07E-05
Opt-in 2,nonprob,30-64,High blood pressure,2020 NHIS,0,2564,0.365945576,0.287280306,2.07E-05
Opt-in 3,nonprob,30-64,High blood pressure,2020 NHIS,0,3087,0.324814549,0.287280306,2.07E-05
Probability 1,prob,30-64,High blood pressure,2020 NHIS,1.4,3010,0.288708516,0.287280306,2.07E-05
Probability 2,prob,30-64,High blood pressure,2020 NHIS,3,3192,0.34046994,0.287280306,2.07E-05
Probability 3,prob,30-64,High blood pressure,2020 NHIS,7,3195,0.308914634,0.287280306,2.07E-05
Opt-in 1,nonprob,65+,High blood pressure,2020 NHIS,0,1105,0.580592963,0.610729284,3.79E-05
Opt-in 2,nonprob,65+,High blood pressure,2020 NHIS,0,1336,0.531208561,0.610729284,3.79E-05
Opt-in 3,nonprob,65+,High blood pressure,2020 NHIS,0,1175,0.58114687,0.610729284,3.79E-05
Probability 1,prob,65+,High blood pressure,2020 NHIS,1.4,1432,0.565849012,0.610729284,3.79E-05
Probability 2,prob,65+,High blood pressure,2020 NHIS,3,1261,0.589326,0.610729284,3.79E-05
Probability 3,prob,65+,High blood pressure,2020 NHIS,7,1400,0.616177812,0.610729284,3.79E-05
Opt-in 1,nonprob,College grad,High blood pressure,2020 NHIS,0,1598,0.366003818,0.246504077,2.31E-05
Opt-in 2,nonprob,College grad,High blood pressure,2020 NHIS,0,1953,0.362595891,0.246504077,2.31E-05
Opt-in 3,nonprob,College grad,High blood pressure,2020 NHIS,0,1799,0.31769221,0.246504077,2.31E-05
Probability 1,prob,College grad,High blood pressure,2020 NHIS,1.4,1867,0.25863197,0.246504077,2.31E-05
Probability 2,prob,College grad,High blood pressure,2020 NHIS,3,2147,0.27555093,0.246504077,2.31E-05
Probability 3,prob,College grad,High blood pressure,2020 NHIS,7,2166,0.281921984,0.246504077,2.31E-05
Opt-in 1,nonprob,HS or less,High blood pressure,2020 NHIS,0,1756,0.413235161,0.357610775,4.22E-05
Opt-in 2,nonprob,HS or less,High blood pressure,2020 NHIS,0,1439,0.388804139,0.357610775,4.22E-05
Opt-in 3,nonprob,HS or less,High blood pressure,2020 NHIS,0,1511,0.393590231,0.357610775,4.22E-05
Probability 1,prob,HS or less,High blood pressure,2020 NHIS,1.4,1617,0.339993746,0.357610775,4.22E-05
Probability 2,prob,HS or less,High blood pressure,2020 NHIS,3,1628,0.436898083,0.357610775,4.22E-05
Probability 3,prob,HS or less,High blood pressure,2020 NHIS,7,1054,0.403143193,0.357610775,4.22E-05
Opt-in 1,nonprob,Some college,High blood pressure,2020 NHIS,0,1558,0.397193102,0.311408352,3.18E-05
Opt-in 2,nonprob,Some college,High blood pressure,2020 NHIS,0,1539,0.363743549,0.311408352,3.18E-05
Opt-in 3,nonprob,Some college,High blood pressure,2020 NHIS,0,1645,0.359940108,0.311408352,3.18E-05
Probability 1,prob,Some college,High blood pressure,2020 NHIS,1.4,1543,0.299263648,0.311408352,3.18E-05
Probability 2,prob,Some college,High blood pressure,2020 NHIS,3,1363,0.330089309,0.311408352,3.18E-05
Probability 3,prob,Some college,High blood pressure,2020 NHIS,7,1743,0.311382857,0.311408352,3.18E-05
Opt-in 1,nonprob,All adults,High blood pressure,2020 NHIS,0,4912,0.39329698,0.311169946,1.34E-05
Opt-in 2,nonprob,All adults,High blood pressure,2020 NHIS,0,4931,0.372767689,0.311169946,1.34E-05
Opt-in 3,nonprob,All adults,High blood pressure,2020 NHIS,0,4955,0.358224981,0.311169946,1.34E-05
Probability 1,prob,All adults,High blood pressure,2020 NHIS,1.4,5027,0.301698665,0.311169946,1.34E-05
Probability 2,prob,All adults,High blood pressure,2020 NHIS,3,5147,0.353121948,0.311169946,1.34E-05
Probability 3,prob,All adults,High blood pressure,2020 NHIS,7,4965,0.334348639,0.311169946,1.34E-05
Opt-in 1,nonprob,Black non-Hispanic,High blood pressure,2020 NHIS,0,656,0.366393372,0.398194611,0.000133085
Opt-in 2,nonprob,Black non-Hispanic,High blood pressure,2020 NHIS,0,676,0.337039754,0.398194611,0.000133085
Opt-in 3,nonprob,Black non-Hispanic,High blood pressure,2020 NHIS,0,623,0.344570935,0.398194611,0.000133085
Probability 1,prob,Black non-Hispanic,High blood pressure,2020 NHIS,1.4,470,0.391319505,0.398194611,0.000133085
Probability 2,prob,Black non-Hispanic,High blood pressure,2020 NHIS,3,529,0.451092254,0.398194611,0.000133085
Probability 3,prob,Black non-Hispanic,High blood pressure,2020 NHIS,7,422,0.432351996,0.398194611,0.000133085
Opt-in 1,nonprob,Hispanic,High blood pressure,2020 NHIS,0,904,0.341584786,0.229858821,7.72E-05
Opt-in 2,nonprob,Hispanic,High blood pressure,2020 NHIS,0,852,0.332463172,0.229858821,7.72E-05
Opt-in 3,nonprob,Hispanic,High blood pressure,2020 NHIS,0,884,0.306640283,0.229858821,7.72E-05
Probability 1,prob,Hispanic,High blood pressure,2020 NHIS,1.4,575,0.220613092,0.229858821,7.72E-05
Probability 2,prob,Hispanic,High blood pressure,2020 NHIS,3,809,0.283927305,0.229858821,7.72E-05
Probability 3,prob,Hispanic,High blood pressure,2020 NHIS,7,318,0.19758566,0.229858821,7.72E-05
Opt-in 1,nonprob,White non-Hispanic,High blood pressure,2020 NHIS,0,3079,0.426047259,0.323200296,1.75E-05
Opt-in 2,nonprob,White non-Hispanic,High blood pressure,2020 NHIS,0,3245,0.39614244,0.323200296,1.75E-05
Opt-in 3,nonprob,White non-Hispanic,High blood pressure,2020 NHIS,0,3148,0.376503654,0.323200296,1.75E-05
Probability 1,prob,White non-Hispanic,High blood pressure,2020 NHIS,1.4,3596,0.314939846,0.323200296,1.75E-05
Probability 2,prob,White non-Hispanic,High blood pressure,2020 NHIS,3,3362,0.373009496,0.323200296,1.75E-05
Probability 3,prob,White non-Hispanic,High blood pressure,2020 NHIS,7,3851,0.354790216,0.323200296,1.75E-05
Opt-in 1,nonprob,18-29,Parent of child in household,2020 NHIS,0,1170,0.262677937,0.157446982,5.46E-05
Opt-in 2,nonprob,18-29,Parent of child in household,2020 NHIS,0,1031,0.261025644,0.157446982,5.46E-05
Opt-in 3,nonprob,18-29,Parent of child in household,2020 NHIS,0,693,0.179716078,0.157446982,5.46E-05
Probability 1,prob,18-29,Parent of child in household,2020 NHIS,1.4,585,0.16703165,0.157446982,5.46E-05
Probability 2,prob,18-29,Parent of child in household,2020 NHIS,3,655,0.203989101,0.157446982,5.46E-05
Probability 3,prob,18-29,Parent of child in household,2020 NHIS,7,363,0.176995307,0.157446982,5.46E-05
Opt-in 1,nonprob,30-64,Parent of child in household,2020 NHIS,0,2637,0.342946196,0.391934797,2.63E-05
Opt-in 2,nonprob,30-64,Parent of child in household,2020 NHIS,0,2564,0.34101849,0.391934797,2.63E-05
Opt-in 3,nonprob,30-64,Parent of child in household,2020 NHIS,0,3087,0.307636086,0.391934797,2.63E-05
Probability 1,prob,30-64,Parent of child in household,2020 NHIS,1.4,3010,0.357691967,0.391934797,2.63E-05
Probability 2,prob,30-64,Parent of child in household,2020 NHIS,3,3192,0.395988216,0.391934797,2.63E-05
Probability 3,prob,30-64,Parent of child in household,2020 NHIS,7,3195,0.360707733,0.391934797,2.63E-05
Opt-in 1,nonprob,65+,Parent of child in household,2020 NHIS,0,1105,0.02076248,0.007588671,1.32E-06
Opt-in 2,nonprob,65+,Parent of child in household,2020 NHIS,0,1336,0.01574562,0.007588671,1.32E-06
Opt-in 3,nonprob,65+,Parent of child in household,2020 NHIS,0,1175,0.008454613,0.007588671,1.32E-06
Probability 1,prob,65+,Parent of child in household,2020 NHIS,1.4,1432,0.008307061,0.007588671,1.32E-06
Probability 2,prob,65+,Parent of child in household,2020 NHIS,3,1261,0.024463153,0.007588671,1.32E-06
Probability 3,prob,65+,Parent of child in household,2020 NHIS,7,1400,0.009962817,0.007588671,1.32E-06
Opt-in 1,nonprob,College grad,Parent of child in household,2020 NHIS,0,1598,0.323903986,0.313488572,3.06E-05
Opt-in 2,nonprob,College grad,Parent of child in household,2020 NHIS,0,1953,0.331759381,0.313488572,3.06E-05
Opt-in 3,nonprob,College grad,Parent of child in household,2020 NHIS,0,1799,0.307042688,0.313488572,3.06E-05
Probability 1,prob,College grad,Parent of child in household,2020 NHIS,1.4,1867,0.297498366,0.313488572,3.06E-05
Probability 2,prob,College grad,Parent of child in household,2020 NHIS,3,2147,0.311085485,0.313488572,3.06E-05
Probability 3,prob,College grad,Parent of child in household,2020 NHIS,7,2166,0.294342744,0.313488572,3.06E-05
Opt-in 1,nonprob,HS or less,Parent of child in household,2020 NHIS,0,1756,0.214336567,0.237544569,3.64E-05
Opt-in 2,nonprob,HS or less,Parent of child in household,2020 NHIS,0,1439,0.197394252,0.237544569,3.64E-05
Opt-in 3,nonprob,HS or less,Parent of child in household,2020 NHIS,0,1511,0.135594798,0.237544569,3.64E-05
Probability 1,prob,HS or less,Parent of child in household,2020 NHIS,1.4,1617,0.204306242,0.237544569,3.64E-05
Probability 2,prob,HS or less,Parent of child in household,2020 NHIS,3,1628,0.264495406,0.237544569,3.64E-05
Probability 3,prob,HS or less,Parent of child in household,2020 NHIS,7,1054,0.208426509,0.237544569,3.64E-05
Opt-in 1,nonprob,Some college,Parent of child in household,2020 NHIS,0,1558,0.239304131,0.241185718,3.43E-05
Opt-in 2,nonprob,Some college,Parent of child in household,2020 NHIS,0,1539,0.241369379,0.241185718,3.43E-05
Opt-in 3,nonprob,Some college,Parent of child in household,2020 NHIS,0,1645,0.219091467,0.241185718,3.43E-05
Probability 1,prob,Some college,Parent of child in household,2020 NHIS,1.4,1543,0.237106535,0.241185718,3.43E-05
Probability 2,prob,Some college,Parent of child in household,2020 NHIS,3,1363,0.26089948,0.241185718,3.43E-05
Probability 3,prob,Some college,Parent of child in household,2020 NHIS,7,1743,0.253694895,0.241185718,3.43E-05
Opt-in 1,nonprob,All adults,Parent of child in household,2020 NHIS,0,4912,0.256800426,0.260411761,1.23E-05
Opt-in 2,nonprob,All adults,Parent of child in household,2020 NHIS,0,4931,0.253674668,0.260411761,1.23E-05
Opt-in 3,nonprob,All adults,Parent of child in household,2020 NHIS,0,4955,0.217811151,0.260411761,1.23E-05
Probability 1,prob,All adults,Parent of child in household,2020 NHIS,1.4,5027,0.243925622,0.260411761,1.23E-05
Probability 2,prob,All adults,Parent of child in household,2020 NHIS,3,5147,0.279065086,0.260411761,1.23E-05
Probability 3,prob,All adults,Parent of child in household,2020 NHIS,7,4965,0.251426864,0.260411761,1.23E-05
Opt-in 1,nonprob,Black non-Hispanic,Parent of child in household,2020 NHIS,0,656,0.295446713,0.256922285,0.000114767
Opt-in 2,nonprob,Black non-Hispanic,Parent of child in household,2020 NHIS,0,676,0.194448415,0.256922285,0.000114767
Opt-in 3,nonprob,Black non-Hispanic,Parent of child in household,2020 NHIS,0,623,0.186935235,0.256922285,0.000114767
Probability 1,prob,Black non-Hispanic,Parent of child in household,2020 NHIS,1.4,470,0.263920195,0.256922285,0.000114767
Probability 2,prob,Black non-Hispanic,Parent of child in household,2020 NHIS,3,529,0.245645999,0.256922285,0.000114767
Probability 3,prob,Black non-Hispanic,Parent of child in household,2020 NHIS,7,422,0.280487022,0.256922285,0.000114767
Opt-in 1,nonprob,Hispanic,Parent of child in household,2020 NHIS,0,904,0.416146535,0.357245837,0.000101931
Opt-in 2,nonprob,Hispanic,Parent of child in household,2020 NHIS,0,852,0.303070425,0.357245837,0.000101931
Opt-in 3,nonprob,Hispanic,Parent of child in household,2020 NHIS,0,884,0.26244456,0.357245837,0.000101931
Probability 1,prob,Hispanic,Parent of child in household,2020 NHIS,1.4,575,0.33027364,0.357245837,0.000101931
Probability 2,prob,Hispanic,Parent of child in household,2020 NHIS,3,809,0.431539566,0.357245837,0.000101931
Probability 3,prob,Hispanic,Parent of child in household,2020 NHIS,7,318,0.358562589,0.357245837,0.000101931
Opt-in 1,nonprob,White non-Hispanic,Parent of child in household,2020 NHIS,0,3079,0.212407117,0.230642341,1.53E-05
Opt-in 2,nonprob,White non-Hispanic,Parent of child in household,2020 NHIS,0,3245,0.262442562,0.230642341,1.53E-05
Opt-in 3,nonprob,White non-Hispanic,Parent of child in household,2020 NHIS,0,3148,0.206541535,0.230642341,1.53E-05
Probability 1,prob,White non-Hispanic,Parent of child in household,2020 NHIS,1.4,3596,0.211520073,0.230642341,1.53E-05
Probability 2,prob,White non-Hispanic,Parent of child in household,2020 NHIS,3,3362,0.243909591,0.230642341,1.53E-05
Probability 3,prob,White non-Hispanic,Parent of child in household,2020 NHIS,7,3851,0.216431703,0.230642341,1.53E-05
Opt-in 1,nonprob,18-29,Covered by health insurance,2020 NHIS,0,1170,0.785629188,0.860706535,6.62E-05
Opt-in 2,nonprob,18-29,Covered by health insurance,2020 NHIS,0,1031,0.757354637,0.860706535,6.62E-05
Opt-in 3,nonprob,18-29,Covered by health insurance,2020 NHIS,0,693,0.769045781,0.860706535,6.62E-05
Probability 1,prob,18-29,Covered by health insurance,2020 NHIS,1.4,585,0.84723928,0.860706535,6.62E-05
Probability 2,prob,18-29,Covered by health insurance,2020 NHIS,3,655,0.777286112,0.860706535,6.62E-05
Probability 3,prob,18-29,Covered by health insurance,2020 NHIS,7,363,0.842229695,0.860706535,6.62E-05
Opt-in 1,nonprob,30-64,Covered by health insurance,2020 NHIS,0,2637,0.851034466,0.895332538,1.67E-05
Opt-in 2,nonprob,30-64,Covered by health insurance,2020 NHIS,0,2564,0.854384594,0.895332538,1.67E-05
Opt-in 3,nonprob,30-64,Covered by health insurance,2020 NHIS,0,3087,0.866256246,0.895332538,1.67E-05
Probability 1,prob,30-64,Covered by health insurance,2020 NHIS,1.4,3010,0.886696601,0.895332538,1.67E-05
Probability 2,prob,30-64,Covered by health insurance,2020 NHIS,3,3192,0.867792399,0.895332538,1.67E-05
Probability 3,prob,30-64,Covered by health insurance,2020 NHIS,7,3195,0.868831288,0.895332538,1.67E-05
Opt-in 1,nonprob,65+,Covered by health insurance,2020 NHIS,0,1105,0.98434742,0.985529389,3.45E-06
Opt-in 2,nonprob,65+,Covered by health insurance,2020 NHIS,0,1336,0.977172436,0.985529389,3.45E-06
Opt-in 3,nonprob,65+,Covered by health insurance,2020 NHIS,0,1175,0.977782019,0.985529389,3.45E-06
Probability 1,prob,65+,Covered by health insurance,2020 NHIS,1.4,1432,0.975939836,0.985529389,3.45E-06
Probability 2,prob,65+,Covered by health insurance,2020 NHIS,3,1261,0.979752313,0.985529389,3.45E-06
Probability 3,prob,65+,Covered by health insurance,2020 NHIS,7,1400,0.977933939,0.985529389,3.45E-06
Opt-in 1,nonprob,College grad,Covered by health insurance,2020 NHIS,0,1598,0.928876022,0.967161176,5.00E-06
Opt-in 2,nonprob,College grad,Covered by health insurance,2020 NHIS,0,1953,0.921549123,0.967161176,5.00E-06
Opt-in 3,nonprob,College grad,Covered by health insurance,2020 NHIS,0,1799,0.936901408,0.967161176,5.00E-06
Probability 1,prob,College grad,Covered by health insurance,2020 NHIS,1.4,1867,0.969785435,0.967161176,5.00E-06
Probability 2,prob,College grad,Covered by health insurance,2020 NHIS,3,2147,0.95236619,0.967161176,5.00E-06
Probability 3,prob,College grad,Covered by health insurance,2020 NHIS,7,2166,0.963275274,0.967161176,5.00E-06
Opt-in 1,nonprob,HS or less,Covered by health insurance,2020 NHIS,0,1756,0.801338435,0.857038271,3.97E-05
Opt-in 2,nonprob,HS or less,Covered by health insurance,2020 NHIS,0,1439,0.808168936,0.857038271,3.97E-05
Opt-in 3,nonprob,HS or less,Covered by health insurance,2020 NHIS,0,1511,0.828225529,0.857038271,3.97E-05
Probability 1,prob,HS or less,Covered by health insurance,2020 NHIS,1.4,1617,0.830239457,0.857038271,3.97E-05
Probability 2,prob,HS or less,Covered by health insurance,2020 NHIS,3,1628,0.813305041,0.857038271,3.97E-05
Probability 3,prob,HS or less,Covered by health insurance,2020 NHIS,7,1054,0.814710099,0.857038271,3.97E-05
Opt-in 1,nonprob,Some college,Covered by health insurance,2020 NHIS,0,1558,0.882127852,0.920277164,1.86E-05
Opt-in 2,nonprob,Some college,Covered by health insurance,2020 NHIS,0,1539,0.862277315,0.920277164,1.86E-05
Opt-in 3,nonprob,Some college,Covered by health insurance,2020 NHIS,0,1645,0.853693396,0.920277164,1.86E-05
Probability 1,prob,Some college,Covered by health insurance,2020 NHIS,1.4,1543,0.904767756,0.920277164,1.86E-05
Probability 2,prob,Some college,Covered by health insurance,2020 NHIS,3,1363,0.872096646,0.920277164,1.86E-05
Probability 3,prob,Some college,Covered by health insurance,2020 NHIS,7,1743,0.893929113,0.920277164,1.86E-05
Opt-in 1,nonprob,All adults,Covered by health insurance,2020 NHIS,0,4912,0.866769501,0.907895157,1.11E-05
Opt-in 2,nonprob,All adults,Covered by health insurance,2020 NHIS,0,4931,0.860877384,0.907895157,1.11E-05
Opt-in 3,nonprob,All adults,Covered by health insurance,2020 NHIS,0,4955,0.871794963,0.907895157,1.11E-05
Probability 1,prob,All adults,Covered by health insurance,2020 NHIS,1.4,5027,0.897351536,0.907895157,1.11E-05
