sampid,type,subgroup_category,benchmark_category,benchmark_source,response_rate,n,phat,p0,v0
Opt-in 3,nonprob,30-64,Never smoked 100 cigarettes,2020 NHIS,0,3087,0.551099575,0.615221179,2.77E-05
Probability 1,prob,30-64,Never smoked 100 cigarettes,2020 NHIS,1.4,3010,0.630322451,0.615221179,2.77E-05
Probability 2,prob,30-64,Never smoked 100 cigarettes,2020 NHIS,3,3192,0.589722263,0.615221179,2.77E-05
Probability 3,prob,30-64,Never smoked 100 cigarettes,2020 NHIS,7,3195,0.62348012,0.615221179,2.77E-05
Opt-in 1,nonprob,65+,Never smoked 100 cigarettes,2020 NHIS,0,1105,0.529191703,0.52175051,4.56E-05
Opt-in 2,nonprob,65+,Never smoked 100 cigarettes,2020 NHIS,0,1336,0.578150693,0.52175051,4.56E-05
Opt-in 3,nonprob,65+,Never smoked 100 cigarettes,2020 NHIS,0,1175,0.496320787,0.52175051,4.56E-05
Probability 1,prob,65+,Never smoked 100 cigarettes,2020 NHIS,1.4,1432,0.515253364,0.52175051,4.56E-05
Probability 2,prob,65+,Never smoked 100 cigarettes,2020 NHIS,3,1261,0.493345737,0.52175051,4.56E-05
Probability 3,prob,65+,Never smoked 100 cigarettes,2020 NHIS,7,1400,0.505143832,0.52175051,4.56E-05
Opt-in 1,nonprob,College grad,Never smoked 100 cigarettes,2020 NHIS,0,1598,0.652000741,0.744847448,2.76E-05
Opt-in 2,nonprob,College grad,Never smoked 100 cigarettes,2020 NHIS,0,1953,0.641844185,0.744847448,2.76E-05
Opt-in 3,nonprob,College grad,Never smoked 100 cigarettes,2020 NHIS,0,1799,0.669640215,0.744847448,2.76E-05
Probability 1,prob,College grad,Never smoked 100 cigarettes,2020 NHIS,1.4,1867,0.758393254,0.744847448,2.76E-05
Probability 2,prob,College grad,Never smoked 100 cigarettes,2020 NHIS,3,2147,0.749666381,0.744847448,2.76E-05
Probability 3,prob,College grad,Never smoked 100 cigarettes,2020 NHIS,7,2166,0.754135157,0.744847448,2.76E-05
Opt-in 1,nonprob,HS or less,Never smoked 100 cigarettes,2020 NHIS,0,1756,0.461597171,0.563566352,5.41E-05
Opt-in 2,nonprob,HS or less,Never smoked 100 cigarettes,2020 NHIS,0,1439,0.520457338,0.563566352,5.41E-05
Opt-in 3,nonprob,HS or less,Never smoked 100 cigarettes,2020 NHIS,0,1511,0.520470132,0.563566352,5.41E-05
Probability 1,prob,HS or less,Never smoked 100 cigarettes,2020 NHIS,1.4,1617,0.571210304,0.563566352,5.41E-05
Probability 2,prob,HS or less,Never smoked 100 cigarettes,2020 NHIS,3,1628,0.520597973,0.563566352,5.41E-05
Probability 3,prob,HS or less,Never smoked 100 cigarettes,2020 NHIS,7,1054,0.526200324,0.563566352,5.41E-05
Opt-in 1,nonprob,Some college,Never smoked 100 cigarettes,2020 NHIS,0,1558,0.514108411,0.62593739,4.70E-05
Opt-in 2,nonprob,Some college,Never smoked 100 cigarettes,2020 NHIS,0,1539,0.539309839,0.62593739,4.70E-05
Opt-in 3,nonprob,Some college,Never smoked 100 cigarettes,2020 NHIS,0,1645,0.581687529,0.62593739,4.70E-05
Probability 1,prob,Some college,Never smoked 100 cigarettes,2020 NHIS,1.4,1543,0.632843886,0.62593739,4.70E-05
Probability 2,prob,Some college,Never smoked 100 cigarettes,2020 NHIS,3,1363,0.594536378,0.62593739,4.70E-05
Probability 3,prob,Some college,Never smoked 100 cigarettes,2020 NHIS,7,1743,0.618218106,0.62593739,4.70E-05
Opt-in 1,nonprob,All adults,Never smoked 100 cigarettes,2020 NHIS,0,4912,0.538212264,0.63499048,1.77E-05
Opt-in 2,nonprob,All adults,Never smoked 100 cigarettes,2020 NHIS,0,4931,0.564894903,0.63499048,1.77E-05
Opt-in 3,nonprob,All adults,Never smoked 100 cigarettes,2020 NHIS,0,4955,0.588446353,0.63499048,1.77E-05
Probability 1,prob,All adults,Never smoked 100 cigarettes,2020 NHIS,1.4,5027,0.649487097,0.63499048,1.77E-05
Probability 2,prob,All adults,Never smoked 100 cigarettes,2020 NHIS,3,5147,0.616348813,0.63499048,1.77E-05
Probability 3,prob,All adults,Never smoked 100 cigarettes,2020 NHIS,7,4965,0.630662736,0.63499048,1.77E-05
Opt-in 1,nonprob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,656,0.544306043,0.703417848,0.000120149
Opt-in 2,nonprob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,676,0.697625361,0.703417848,0.000120149
Opt-in 3,nonprob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,623,0.665278641,0.703417848,0.000120149
Probability 1,prob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,1.4,470,0.648149073,0.703417848,0.000120149
Probability 2,prob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,3,529,0.660169839,0.703417848,0.000120149
Probability 3,prob,Black non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,7,422,0.677528098,0.703417848,0.000120149
Opt-in 1,nonprob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,904,0.588438809,0.755305757,8.27E-05
Opt-in 2,nonprob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,852,0.641211632,0.755305757,8.27E-05
Opt-in 3,nonprob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,884,0.672166899,0.755305757,8.27E-05
Probability 1,prob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,1.4,575,0.740175275,0.755305757,8.27E-05
Probability 2,prob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,3,809,0.76478768,0.755305757,8.27E-05
Probability 3,prob,Hispanic,Never smoked 100 cigarettes,2020 NHIS,7,318,0.77809276,0.755305757,8.27E-05
Opt-in 1,nonprob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,3079,0.512243033,0.580205572,2.42E-05
Opt-in 2,nonprob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,3245,0.505933225,0.580205572,2.42E-05
Opt-in 3,nonprob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,0,3148,0.539158398,0.580205572,2.42E-05
Probability 1,prob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,1.4,3596,0.617061832,0.580205572,2.42E-05
Probability 2,prob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,3,3362,0.561180593,0.580205572,2.42E-05
Probability 3,prob,White non-Hispanic,Never smoked 100 cigarettes,2020 NHIS,7,3851,0.575541814,0.580205572,2.42E-05
Opt-in 1,nonprob,18-29,Never vaped,2020 NHIS,0,1170,0.508086671,0.665519692,9.95E-05
Opt-in 2,nonprob,18-29,Never vaped,2020 NHIS,0,1031,0.556349981,0.665519692,9.95E-05
Opt-in 3,nonprob,18-29,Never vaped,2020 NHIS,0,693,0.601137657,0.665519692,9.95E-05
Probability 1,prob,18-29,Never vaped,2020 NHIS,1.4,585,0.686886863,0.665519692,9.95E-05
Probability 2,prob,18-29,Never vaped,2020 NHIS,3,655,0.500000717,0.665519692,9.95E-05
Probability 3,prob,18-29,Never vaped,2020 NHIS,7,363,0.519530703,0.665519692,9.95E-05
Opt-in 1,nonprob,30-64,Never vaped,2020 NHIS,0,2637,0.612928697,0.814464785,1.73E-05
Opt-in 2,nonprob,30-64,Never vaped,2020 NHIS,0,2564,0.644684003,0.814464785,1.73E-05
Opt-in 3,nonprob,30-64,Never vaped,2020 NHIS,0,3087,0.719855554,0.814464785,1.73E-05
Probability 1,prob,30-64,Never vaped,2020 NHIS,1.4,3010,0.793472317,0.814464785,1.73E-05
Probability 2,prob,30-64,Never vaped,2020 NHIS,3,3192,0.705302477,0.814464785,1.73E-05
Probability 3,prob,30-64,Never vaped,2020 NHIS,7,3195,0.757279898,0.814464785,1.73E-05
Opt-in 1,nonprob,65+,Never vaped,2020 NHIS,0,1105,0.889382837,0.935219722,1.03E-05
Opt-in 2,nonprob,65+,Never vaped,2020 NHIS,0,1336,0.948955602,0.935219722,1.03E-05
Opt-in 3,nonprob,65+,Never vaped,2020 NHIS,0,1175,0.92504821,0.935219722,1.03E-05
Probability 1,prob,65+,Never vaped,2020 NHIS,1.4,1432,0.919967147,0.935219722,1.03E-05
Probability 2,prob,65+,Never vaped,2020 NHIS,3,1261,0.896913672,0.935219722,1.03E-05
Probability 3,prob,65+,Never vaped,2020 NHIS,7,1400,0.930462407,0.935219722,1.03E-05
Opt-in 1,nonprob,College grad,Never vaped,2020 NHIS,0,1598,0.716127183,0.85908368,1.73E-05
Opt-in 2,nonprob,College grad,Never vaped,2020 NHIS,0,1953,0.726128327,0.85908368,1.73E-05
Opt-in 3,nonprob,College grad,Never vaped,2020 NHIS,0,1799,0.77375092,0.85908368,1.73E-05
Probability 1,prob,College grad,Never vaped,2020 NHIS,1.4,1867,0.851070564,0.85908368,1.73E-05
Probability 2,prob,College grad,Never vaped,2020 NHIS,3,2147,0.792532581,0.85908368,1.73E-05
Probability 3,prob,College grad,Never vaped,2020 NHIS,7,2166,0.831955319,0.85908368,1.73E-05
Opt-in 1,nonprob,HS or less,Never vaped,2020 NHIS,0,1756,0.643948512,0.794928,3.53E-05
Opt-in 2,nonprob,HS or less,Never vaped,2020 NHIS,0,1439,0.68944047,0.794928,3.53E-05
Opt-in 3,nonprob,HS or less,Never vaped,2020 NHIS,0,1511,0.732182513,0.794928,3.53E-05
Probability 1,prob,HS or less,Never vaped,2020 NHIS,1.4,1617,0.788790409,0.794928,3.53E-05
Probability 2,prob,HS or less,Never vaped,2020 NHIS,3,1628,0.67802956,0.794928,3.53E-05
Probability 3,prob,HS or less,Never vaped,2020 NHIS,7,1054,0.721696357,0.794928,3.53E-05
Opt-in 1,nonprob,Some college,Never vaped,2020 NHIS,0,1558,0.595273634,0.783078432,3.53E-05
Opt-in 2,nonprob,Some college,Never vaped,2020 NHIS,0,1539,0.661119925,0.783078432,3.53E-05
Opt-in 3,nonprob,Some college,Never vaped,2020 NHIS,0,1645,0.718776952,0.783078432,3.53E-05
Probability 1,prob,Some college,Never vaped,2020 NHIS,1.4,1543,0.754345918,0.783078432,3.53E-05
Probability 2,prob,Some college,Never vaped,2020 NHIS,3,1363,0.654236689,0.783078432,3.53E-05
Probability 3,prob,Some college,Never vaped,2020 NHIS,7,1743,0.712332779,0.783078432,3.53E-05
Opt-in 1,nonprob,All adults,Never vaped,2020 NHIS,0,4912,0.651775133,0.810196267,1.22E-05
Opt-in 2,nonprob,All adults,Never vaped,2020 NHIS,0,4931,0.692430666,0.810196267,1.22E-05
Opt-in 3,nonprob,All adults,Never vaped,2020 NHIS,0,4955,0.74164432,0.810196267,1.22E-05
Probability 1,prob,All adults,Never vaped,2020 NHIS,1.4,5027,0.797999104,0.810196267,1.22E-05
Probability 2,prob,All adults,Never vaped,2020 NHIS,3,5147,0.707476601,0.810196267,1.22E-05
Probability 3,prob,All adults,Never vaped,2020 NHIS,7,4965,0.755384374,0.810196267,1.22E-05
Opt-in 1,nonprob,Black non-Hispanic,Never vaped,2020 NHIS,0,656,0.568124238,0.840069708,7.89E-05
Opt-in 2,nonprob,Black non-Hispanic,Never vaped,2020 NHIS,0,676,0.719193757,0.840069708,7.89E-05
Opt-in 3,nonprob,Black non-Hispanic,Never vaped,2020 NHIS,0,623,0.691560372,0.840069708,7.89E-05
Probability 1,prob,Black non-Hispanic,Never vaped,2020 NHIS,1.4,470,0.798761491,0.840069708,7.89E-05
Probability 2,prob,Black non-Hispanic,Never vaped,2020 NHIS,3,529,0.75405016,0.840069708,7.89E-05
Probability 3,prob,Black non-Hispanic,Never vaped,2020 NHIS,7,422,0.785662212,0.840069708,7.89E-05
Opt-in 1,nonprob,Hispanic,Never vaped,2020 NHIS,0,904,0.463054542,0.838981376,7.58E-05
Opt-in 2,nonprob,Hispanic,Never vaped,2020 NHIS,0,852,0.650899094,0.838981376,7.58E-05
Opt-in 3,nonprob,Hispanic,Never vaped,2020 NHIS,0,884,0.61608015,0.838981376,7.58E-05
Probability 1,prob,Hispanic,Never vaped,2020 NHIS,1.4,575,0.828349964,0.838981376,7.58E-05
Probability 2,prob,Hispanic,Never vaped,2020 NHIS,3,809,0.674992346,0.838981376,7.58E-05
Probability 3,prob,Hispanic,Never vaped,2020 NHIS,7,318,0.74894155,0.838981376,7.58E-05
Opt-in 1,nonprob,White non-Hispanic,Never vaped,2020 NHIS,0,3079,0.711432082,0.796200833,1.70E-05
Opt-in 2,nonprob,White non-Hispanic,Never vaped,2020 NHIS,0,3245,0.689826455,0.796200833,1.70E-05
Opt-in 3,nonprob,White non-Hispanic,Never vaped,2020 NHIS,0,3148,0.777115941,0.796200833,1.70E-05
Probability 1,prob,White non-Hispanic,Never vaped,2020 NHIS,1.4,3596,0.792812637,0.796200833,1.70E-05
Probability 2,prob,White non-Hispanic,Never vaped,2020 NHIS,3,3362,0.70255529,0.796200833,1.70E-05
Probability 3,prob,White non-Hispanic,Never vaped,2020 NHIS,7,3851,0.746469534,0.796200833,1.70E-05
Opt-in 1,nonprob,18-29,Own 1+ car,2021 ACS,0,1170,0.831779083,0.937983503,2.80E-07
Opt-in 2,nonprob,18-29,Own 1+ car,2021 ACS,0,1031,0.761572138,0.937983503,2.80E-07
Opt-in 3,nonprob,18-29,Own 1+ car,2021 ACS,0,693,0.850506929,0.937983503,2.80E-07
Probability 1,prob,18-29,Own 1+ car,2021 ACS,1.4,585,0.896191246,0.937983503,2.80E-07
Probability 2,prob,18-29,Own 1+ car,2021 ACS,3,655,0.899064056,0.937983503,2.80E-07
Probability 3,prob,18-29,Own 1+ car,2021 ACS,7,363,0.829817877,0.937983503,2.80E-07
Opt-in 1,nonprob,30-64,Own 1+ car,2021 ACS,0,2637,0.837667137,0.947244236,6.28E-08
Opt-in 2,nonprob,30-64,Own 1+ car,2021 ACS,0,2564,0.861057674,0.947244236,6.28E-08
Opt-in 3,nonprob,30-64,Own 1+ car,2021 ACS,0,3087,0.886804838,0.947244236,6.28E-08
Probability 1,prob,30-64,Own 1+ car,2021 ACS,1.4,3010,0.920887434,0.947244236,6.28E-08
Probability 2,prob,30-64,Own 1+ car,2021 ACS,3,3192,0.885841939,0.947244236,6.28E-08
Probability 3,prob,30-64,Own 1+ car,2021 ACS,7,3195,0.880060819,0.947244236,6.28E-08
Opt-in 1,nonprob,65+,Own 1+ car,2021 ACS,0,1105,0.905853247,0.917682947,2.18E-07
Opt-in 2,nonprob,65+,Own 1+ car,2021 ACS,0,1336,0.918073556,0.917682947,2.18E-07
Opt-in 3,nonprob,65+,Own 1+ car,2021 ACS,0,1175,0.946167756,0.917682947,2.18E-07
Probability 1,prob,65+,Own 1+ car,2021 ACS,1.4,1432,0.932286219,0.917682947,2.18E-07
Probability 2,prob,65+,Own 1+ car,2021 ACS,3,1261,0.923773623,0.917682947,2.18E-07
Probability 3,prob,65+,Own 1+ car,2021 ACS,7,1400,0.908792659,0.917682947,2.18E-07
Opt-in 1,nonprob,College grad,Own 1+ car,2021 ACS,0,1598,0.921532029,0.956379506,9.09E-08
Opt-in 2,nonprob,College grad,Own 1+ car,2021 ACS,0,1953,0.924786238,0.956379506,9.09E-08
Opt-in 3,nonprob,College grad,Own 1+ car,2021 ACS,0,1799,0.933846735,0.956379506,9.09E-08
Probability 1,prob,College grad,Own 1+ car,2021 ACS,1.4,1867,0.942529293,0.956379506,9.09E-08
Probability 2,prob,College grad,Own 1+ car,2021 ACS,3,2147,0.938773007,0.956379506,9.09E-08
Probability 3,prob,College grad,Own 1+ car,2021 ACS,7,2166,0.937992292,0.956379506,9.09E-08
Opt-in 1,nonprob,HS or less,Own 1+ car,2021 ACS,0,1756,0.771667171,0.913980734,1.14E-07
Opt-in 2,nonprob,HS or less,Own 1+ car,2021 ACS,0,1439,0.776930324,0.913980734,1.14E-07
Opt-in 3,nonprob,HS or less,Own 1+ car,2021 ACS,0,1511,0.855230642,0.913980734,1.14E-07
Probability 1,prob,HS or less,Own 1+ car,2021 ACS,1.4,1617,0.876545358,0.913980734,1.14E-07
Probability 2,prob,HS or less,Own 1+ car,2021 ACS,3,1628,0.849065785,0.913980734,1.14E-07
Probability 3,prob,HS or less,Own 1+ car,2021 ACS,7,1054,0.798636742,0.913980734,1.14E-07
Opt-in 1,nonprob,Some college,Own 1+ car,2021 ACS,0,1558,0.875416199,0.951466799,1.49E-07
Opt-in 2,nonprob,Some college,Own 1+ car,2021 ACS,0,1539,0.870555276,0.951466799,1.49E-07
Opt-in 3,nonprob,Some college,Own 1+ car,2021 ACS,0,1645,0.892879659,0.951466799,1.49E-07
Probability 1,prob,Some college,Own 1+ car,2021 ACS,1.4,1543,0.943986877,0.951466799,1.49E-07
Probability 2,prob,Some college,Own 1+ car,2021 ACS,3,1363,0.915269246,0.951466799,1.49E-07
Probability 3,prob,Some college,Own 1+ car,2021 ACS,7,1743,0.90558106,0.951466799,1.49E-07
Opt-in 1,nonprob,All adults,Own 1+ car,2021 ACS,0,4912,0.851280358,0.939031301,4.32E-08
Opt-in 2,nonprob,All adults,Own 1+ car,2021 ACS,0,4931,0.852744389,0.939031301,4.32E-08
Opt-in 3,nonprob,All adults,Own 1+ car,2021 ACS,0,4955,0.892731845,0.939031301,4.32E-08
Probability 1,prob,All adults,Own 1+ car,2021 ACS,1.4,5027,0.918144757,0.939031301,4.32E-08
Probability 2,prob,All adults,Own 1+ car,2021 ACS,3,5147,0.896823183,0.939031301,4.32E-08
Probability 3,prob,All adults,Own 1+ car,2021 ACS,7,4965,0.877983121,0.939031301,4.32E-08
Opt-in 1,nonprob,Black non-Hispanic,Own 1+ car,2021 ACS,0,656,0.778473213,0.877892751,1.15E-06
Opt-in 2,nonprob,Black non-Hispanic,Own 1+ car,2021 ACS,0,676,0.703327273,0.877892751,1.15E-06
Opt-in 3,nonprob,Black non-Hispanic,Own 1+ car,2021 ACS,0,623,0.7913576,0.877892751,1.15E-06
Probability 1,prob,Black non-Hispanic,Own 1+ car,2021 ACS,1.4,470,0.839616353,0.877892751,1.15E-06
Probability 2,prob,Black non-Hispanic,Own 1+ car,2021 ACS,3,529,0.740985676,0.877892751,1.15E-06
Probability 3,prob,Black non-Hispanic,Own 1+ car,2021 ACS,7,422,0.673435499,0.877892751,1.15E-06
Opt-in 1,nonprob,Hispanic,Own 1+ car,2021 ACS,0,904,0.833875472,0.926297309,3.42E-07
Opt-in 2,nonprob,Hispanic,Own 1+ car,2021 ACS,0,852,0.757655894,0.926297309,3.42E-07
Opt-in 3,nonprob,Hispanic,Own 1+ car,2021 ACS,0,884,0.882975967,0.926297309,3.42E-07
Probability 1,prob,Hispanic,Own 1+ car,2021 ACS,1.4,575,0.892282563,0.926297309,3.42E-07
Probability 2,prob,Hispanic,Own 1+ car,2021 ACS,3,809,0.853808704,0.926297309,3.42E-07
Probability 3,prob,Hispanic,Own 1+ car,2021 ACS,7,318,0.835793004,0.926297309,3.42E-07
Opt-in 1,nonprob,White non-Hispanic,Own 1+ car,2021 ACS,0,3079,0.877440172,0.957096392,6.54E-08
Opt-in 2,nonprob,White non-Hispanic,Own 1+ car,2021 ACS,0,3245,0.903503106,0.957096392,6.54E-08
Opt-in 3,nonprob,White non-Hispanic,Own 1+ car,2021 ACS,0,3148,0.91790538,0.957096392,6.54E-08
Probability 1,prob,White non-Hispanic,Own 1+ car,2021 ACS,1.4,3596,0.942359936,0.957096392,6.54E-08
Probability 2,prob,White non-Hispanic,Own 1+ car,2021 ACS,3,3362,0.941563579,0.957096392,6.54E-08
Probability 3,prob,White non-Hispanic,Own 1+ car,2021 ACS,7,3851,0.92902463,0.957096392,6.54E-08
Opt-in 1,nonprob,18-29,U.S. Citizen,2021 ACS,0,1170,0.890103875,0.9323904,3.15E-07
Opt-in 2,nonprob,18-29,U.S. Citizen,2021 ACS,0,1031,0.85912388,0.9323904,3.15E-07
Opt-in 3,nonprob,18-29,U.S. Citizen,2021 ACS,0,693,0.856210414,0.9323904,3.15E-07
Probability 1,prob,18-29,U.S. Citizen,2021 ACS,1.4,585,0.925182927,0.9323904,3.15E-07
Probability 2,prob,18-29,U.S. Citizen,2021 ACS,3,655,0.885226601,0.9323904,3.15E-07
Probability 3,prob,18-29,U.S. Citizen,2021 ACS,7,363,0.90503425,0.9323904,3.15E-07
Opt-in 1,nonprob,30-64,U.S. Citizen,2021 ACS,0,2637,0.937467103,0.906254153,1.92E-07
Opt-in 2,nonprob,30-64,U.S. Citizen,2021 ACS,0,2564,0.927363665,0.906254153,1.92E-07
Opt-in 3,nonprob,30-64,U.S. Citizen,2021 ACS,0,3087,0.952504476,0.906254153,1.92E-07
Probability 1,prob,30-64,U.S. Citizen,2021 ACS,1.4,3010,0.877256915,0.906254153,1.92E-07
Probability 2,prob,30-64,U.S. Citizen,2021 ACS,3,3192,0.905178544,0.906254153,1.92E-07
Probability 3,prob,30-64,U.S. Citizen,2021 ACS,7,3195,0.930038125,0.906254153,1.92E-07
Opt-in 1,nonprob,65+,U.S. Citizen,2021 ACS,0,1105,0.991652139,0.967411245,9.53E-08
Opt-in 2,nonprob,65+,U.S. Citizen,2021 ACS,0,1336,0.98458469,0.967411245,9.53E-08
Opt-in 3,nonprob,65+,U.S. Citizen,2021 ACS,0,1175,0.992232073,0.967411245,9.53E-08
Probability 1,prob,65+,U.S. Citizen,2021 ACS,1.4,1432,0.949532824,0.967411245,9.53E-08
Probability 2,prob,65+,U.S. Citizen,2021 ACS,3,1261,0.968591697,0.967411245,9.53E-08
Probability 3,prob,65+,U.S. Citizen,2021 ACS,7,1400,0.972526128,0.967411245,9.53E-08
Opt-in 1,nonprob,College grad,U.S. Citizen,2021 ACS,0,1598,0.945801513,0.938072501,1.67E-07
Opt-in 2,nonprob,College grad,U.S. Citizen,2021 ACS,0,1953,0.929668489,0.938072501,1.67E-07
Opt-in 3,nonprob,College grad,U.S. Citizen,2021 ACS,0,1799,0.941265809,0.938072501,1.67E-07
Probability 1,prob,College grad,U.S. Citizen,2021 ACS,1.4,1867,0.92626958,0.938072501,1.67E-07
Probability 2,prob,College grad,U.S. Citizen,2021 ACS,3,2147,0.918290141,0.938072501,1.67E-07
Probability 3,prob,College grad,U.S. Citizen,2021 ACS,7,2166,0.917298811,0.938072501,1.67E-07
Opt-in 1,nonprob,HS or less,U.S. Citizen,2021 ACS,0,1756,0.920881998,0.884646113,4.00E-07
Opt-in 2,nonprob,HS or less,U.S. Citizen,2021 ACS,0,1439,0.901254199,0.884646113,4.00E-07
Opt-in 3,nonprob,HS or less,U.S. Citizen,2021 ACS,0,1511,0.93098989,0.884646113,4.00E-07
Probability 1,prob,HS or less,U.S. Citizen,2021 ACS,1.4,1617,0.860922141,0.884646113,4.00E-07
Probability 2,prob,HS or less,U.S. Citizen,2021 ACS,3,1628,0.896700678,0.884646113,4.00E-07
Probability 3,prob,HS or less,U.S. Citizen,2021 ACS,7,1054,0.92487225,0.884646113,4.00E-07
Opt-in 1,nonprob,Some college,U.S. Citizen,2021 ACS,0,1558,0.95606462,0.960488451,9.43E-08
Opt-in 2,nonprob,Some college,U.S. Citizen,2021 ACS,0,1539,0.951093623,0.960488451,9.43E-08
Opt-in 3,nonprob,Some college,U.S. Citizen,2021 ACS,0,1645,0.95741637,0.960488451,9.43E-08
Probability 1,prob,Some college,U.S. Citizen,2021 ACS,1.4,1543,0.929157108,0.960488451,9.43E-08
Probability 2,prob,Some college,U.S. Citizen,2021 ACS,3,1363,0.9342832,0.960488451,9.43E-08
Probability 3,prob,Some college,U.S. Citizen,2021 ACS,7,1743,0.96628274,0.960488451,9.43E-08
Opt-in 1,nonprob,All adults,U.S. Citizen,2021 ACS,0,4912,0.939667442,0.924687601,1.12E-07
Opt-in 2,nonprob,All adults,U.S. Citizen,2021 ACS,0,4931,0.925597928,0.924687601,1.12E-07
Opt-in 3,nonprob,All adults,U.S. Citizen,2021 ACS,0,4955,0.942584251,0.924687601,1.12E-07
Probability 1,prob,All adults,U.S. Citizen,2021 ACS,1.4,5027,0.902562672,0.924687601,1.12E-07
Probability 2,prob,All adults,U.S. Citizen,2021 ACS,3,5147,0.915155629,0.924687601,1.12E-07
Probability 3,prob,All adults,U.S. Citizen,2021 ACS,7,4965,0.935255886,0.924687601,1.12E-07
Opt-in 1,nonprob,Black non-Hispanic,U.S. Citizen,2021 ACS,0,656,0.956488425,0.956550584,4.44E-07
Opt-in 2,nonprob,Black non-Hispanic,U.S. Citizen,2021 ACS,0,676,0.893214529,0.956550584,4.44E-07
Opt-in 3,nonprob,Black non-Hispanic,U.S. Citizen,2021 ACS,0,623,0.955532005,0.956550584,4.44E-07
Probability 1,prob,Black non-Hispanic,U.S. Citizen,2021 ACS,1.4,470,0.950622288,0.956550584,4.44E-07
Probability 2,prob,Black non-Hispanic,U.S. Citizen,2021 ACS,3,529,0.95638573,0.956550584,4.44E-07
Probability 3,prob,Black non-Hispanic,U.S. Citizen,2021 ACS,7,422,0.970730352,0.956550584,4.44E-07
Opt-in 1,nonprob,Hispanic,U.S. Citizen,2021 ACS,0,904,0.852319297,0.749584163,2.08E-06
Opt-in 2,nonprob,Hispanic,U.S. Citizen,2021 ACS,0,852,0.804739502,0.749584163,2.08E-06
Opt-in 3,nonprob,Hispanic,U.S. Citizen,2021 ACS,0,884,0.842441987,0.749584163,2.08E-06
Probability 1,prob,Hispanic,U.S. Citizen,2021 ACS,1.4,575,0.703374272,0.749584163,2.08E-06
Probability 2,prob,Hispanic,U.S. Citizen,2021 ACS,3,809,0.712885915,0.749584163,2.08E-06
Probability 3,prob,Hispanic,U.S. Citizen,2021 ACS,7,318,0.781997795,0.749584163,2.08E-06
Opt-in 1,nonprob,White non-Hispanic,U.S. Citizen,2021 ACS,0,3079,0.974088047,0.985266472,1.89E-08
Opt-in 2,nonprob,White non-Hispanic,U.S. Citizen,2021 ACS,0,3245,0.974265075,0.985266472,1.89E-08
Opt-in 3,nonprob,White non-Hispanic,U.S. Citizen,2021 ACS,0,3148,0.974460035,0.985266472,1.89E-08
Probability 1,prob,White non-Hispanic,U.S. Citizen,2021 ACS,1.4,3596,0.961455318,0.985266472,1.89E-08
Probability 2,prob,White non-Hispanic,U.S. Citizen,2021 ACS,3,3362,0.978353845,0.985266472,1.89E-08
Probability 3,prob,White non-Hispanic,U.S. Citizen,2021 ACS,7,3851,0.982656065,0.985266472,1.89E-08
Opt-in 1,nonprob,18-29,Speaks English well or better,2021 ACS,0,1170,0.944869661,0.978759276,1.11E-07
Opt-in 2,nonprob,18-29,Speaks English well or better,2021 ACS,0,1031,0.919988095,0.978759276,1.11E-07
Opt-in 3,nonprob,18-29,Speaks English well or better,2021 ACS,0,693,0.945195632,0.978759276,1.11E-07
Probability 1,prob,18-29,Speaks English well or better,2021 ACS,1.4,585,0.987373096,0.978759276,1.11E-07
Probability 2,prob,18-29,Speaks English well or better,2021 ACS,3,655,0.970581434,0.978759276,1.11E-07
Probability 3,prob,18-29,Speaks English well or better,2021 ACS,7,363,0.981647252,0.978759276,1.11E-07
Opt-in 1,nonprob,30-64,Speaks English well or better,2021 ACS,0,2637,0.981070614,0.946420011,1.08E-07
Opt-in 2,nonprob,30-64,Speaks English well or better,2021 ACS,0,2564,0.963909641,0.946420011,1.08E-07
Opt-in 3,nonprob,30-64,Speaks English well or better,2021 ACS,0,3087,0.988590582,0.946420011,1.08E-07
Probability 1,prob,30-64,Speaks English well or better,2021 ACS,1.4,3010,0.945712529,0.946420011,1.08E-07
Probability 2,prob,30-64,Speaks English well or better,2021 ACS,3,3192,0.970761709,0.946420011,1.08E-07
Probability 3,prob,30-64,Speaks English well or better,2021 ACS,7,3195,0.970833562,0.946420011,1.08E-07
Opt-in 1,nonprob,65+,Speaks English well or better,2021 ACS,0,1105,1,0.946289474,1.50E-07
